meanRT_comp,meanRT_incomp,acc_comp,acc_incomp,Age_group,Age_real,v,a,ter,max_ampl,tau,ster
0.53159574,0.63173913,1.00000000,0.95833333,10.00000000,10.64109589,0.33264299,0.07026082,0.38309046,0.02622847,0.09765054,0.00423334
0.41316667,0.43004651,1.00000000,0.93478261,10.00000000,10.70684932,0.56556360,0.05953918,0.33682883,0.05214525,0.01211742,0.02874133
0.68186957,0.67586667,0.97872340,0.93750000,10.00000000,10.35616438,0.21274595,0.07129094,0.37822305,0.01844536,0.04756414,0.00543052
0.51336170,0.59040909,1.00000000,0.95652174,10.00000000,10.89863014,0.32502054,0.06170380,0.35897221,0.03435232,0.97423051,0.02614761
0.71959574,0.73906667,1.00000000,0.97826087,10.00000000,10.38082192,0.24302637,0.09369317,0.34766353,0.01051665,0.18632930,0.01522476
0.65330233,0.78508889,0.91489362,0.95744681,10.00000000,10.51780822,0.20748820,0.06486170,0.43294753,0.01657279,0.79748022,0.03846081
0.63395556,0.71777778,0.95744681,0.95744681,10.00000000,10.47671233,0.25936355,0.05998216,0.47066888,0.01350064,0.07577241,0.00172892
0.66717021,0.68942222,0.97916667,0.97826087,10.00000000,10.24383562,0.30259423,0.06950524,0.45517376,0.03049360,0.02934948,0.01996235
0.60637778,0.74253333,0.95744681,0.95744681,10.00000000,10.34794521,0.21912425,0.07495779,0.35502067,0.01801817,0.27450267,0.00693371
0.83356818,0.82876087,0.93617021,0.97872340,10.00000000,10.43561644,0.20375336,0.07348320,0.46941579,0.00869525,0.15021621,0.00856894
0.65747826,0.62736170,0.97872340,1.00000000,10.00000000,10.28767123,0.35233998,0.06559361,0.45243308,0.03973189,0.00528065,0.03604776
0.49365217,0.52695349,0.97872340,0.93478261,10.00000000,10.96164384,0.50931189,0.03294503,0.44514637,0.01587157,0.01339004,0.01725044
0.40734783,0.45150000,0.97872340,0.91666667,10.00000000,11.07945205,0.34299997,0.04568624,0.30866131,0.01292491,0.06450126,0.01244194
0.47526190,0.50166667,0.91304348,0.95744681,10.00000000,10.57534247,0.33844396,0.03818024,0.39172388,0.00445640,0.09606792,0.01046098
0.51862791,0.59406667,0.93478261,0.97826087,10.00000000,10.99726027,0.35771700,0.04283393,0.44855288,0.00971068,0.11553785,0.01525338
0.54682979,0.65095745,1.00000000,0.97916667,11.00000000,11.82465753,0.43020168,0.06784604,0.43555317,0.02783726,0.16367907,0.03234471
0.72734043,0.77197619,1.00000000,0.89361702,11.00000000,11.44109589,0.25332192,0.05985264,0.52492410,0.02887060,0.96571037,0.03573895
0.63852083,0.69431915,1.00000000,0.97916667,11.00000000,11.60821918,0.28399960,0.07948366,0.39374877,0.01815519,0.95877740,0.00095702
0.49178261,0.51610870,0.95833333,0.97872340,11.00000000,11.51232877,0.49313732,0.03409251,0.43663472,0.01254337,0.01333126,0.01482640
0.56295745,0.65138298,1.00000000,0.97916667,11.00000000,11.79178082,0.29058247,0.08289085,0.32979727,0.01532683,0.10528590,0.03969311
0.64423913,0.69453191,0.97872340,1.00000000,11.00000000,11.96438356,0.33678725,0.06637966,0.46286123,0.02592650,0.92279017,0.02539979
0.51440000,0.58863043,0.95744681,0.95833333,11.00000000,11.60000000,0.34852245,0.04662308,0.43620315,0.01310930,0.08938635,0.01720015
0.54048936,0.51765957,1.00000000,0.97916667,11.00000000,12.10136986,0.46462665,0.04981374,0.42630960,0.00099044,0.98900939,0.01843344
0.52913333,0.59571739,0.95744681,0.95833333,11.00000000,12.00821918,0.36555208,0.04726897,0.44807125,0.01916019,0.03986593,0.02821978
0.54951111,0.56670213,0.95744681,0.97916667,11.00000000,11.50958904,0.35072227,0.04703933,0.43318689,0.00671098,0.05154994,0.02118563
0.58134043,0.66215217,1.00000000,0.95833333,11.00000000,12.20547945,0.30784924,0.06680553,0.41799142,0.01773162,0.12181577,0.03277353
